wis_cluster,n,Private Regard,Interdependence,Connection,Family,Centrality,Public Regard,Skills,wis_total.x,Private Regard_sd,Interdependence_sd,Connection_sd,Family_sd,Centrality_sd,Public Regard_sd,Skills_sd,wis_total.y
High Military Identity,79,26.379746835443036,22.0126582278481,10.240506329113924,9.253164556962025,12.658227848101266,11.987341772151899,9.746835443037975,102.27848101265823,2.0587760707383853,2.6335783927813936,1.6346817291842044,1.6366660485954738,2.2808347322032776,2.0969677185077233,1.5727515854377376,7.469487863645519
Low Military Identity,132,23.71212121212121,16.575757575757574,9.143939393939394,6.371212121212121,9.878787878787879,11.196969696969697,7.78030303030303,84.6590909090909,3.728434792303957,2.8502610356450204,1.8703495030272927,1.7622214599036876,2.3639477365682167,2.1237996841301565,1.713504484206368,10.519940749154353
