mil_civ_cluster,n,Civilian Identity,Private Regard,Interdependence,Connection,Family,Centrality,Public Regard,Skills,wis_total.x,biis_harmony.x,biis_blendedness.x,Civilian Identity_sd,Private Regard_sd,Interdependence_sd,Connection_sd,Family_sd,Centrality_sd,Public Regard_sd,Skills_sd,wis_total.y,biis_harmony.y,biis_blendedness.y
Integrated,48,11.791666666666666,25.979166666666668,21.791666666666668,10.083333333333334,9.416666666666666,12.833333333333334,11.479166666666666,9.854166666666666,101.4375,31.958333333333332,23.875,0.8240618994859534,2.197576840893443,2.705064858099491,1.6351632533934424,1.4851510895748106,2.003542961147357,1.7257694347287449,1.5016244159325671,7.908805354012676,6.829093997207464,2.654782917759102
Separated,31,15.67741935483871,27,22.35483870967742,10.483870967741936,9,12.387096774193548,12.774193548387096,9.580645161290322,103.58064516129032,38.96774193548387,25.225806451612904,0.701764289686765,1.6733200530681511,2.5238645908840436,1.6303571744035206,1.8439088914585775,2.6668010718816744,2.390392958202408,1.688671934753997,6.647175809060502,8.121920425481248,4.484861034037025
Assimilated,64,11.546875,22.265625,17.015625,8.703125,6.59375,10.09375,10.390625,7.796875,82.859375,34.625,21.078125,1.7083333333333333,3.8099376635320428,2.935779215672494,1.822954931571179,1.7881332822025977,2.3416094722722063,2.1277992766952343,1.3473040394072804,10.110292080468346,7.85483371551637,4.768629923699924
Marginalized,68,15.735294117647058,25.073529411764707,16.16176470588235,9.558823529411764,6.161764705882353,9.676470588235293,11.955882352941176,7.764705882352941,86.3529411764706,42.544117647058826,19.955882352941178,0.6605661763954599,3.1066427455334757,2.7241884680546606,1.8315832229854274,1.7243670187788185,2.3842842192003886,1.832002603216325,2.0083233302361587,10.689323318686432,4.801846111185241,5.301179321142402
