mil_civ_cluster,n,ratio_sd_blendedness,ratio_sd_harmony,ratio_n,sd_blendedness,sd_harmony
Integrated,31,1.996840979230467,1.6914162256392078,2.193548387096774,4.484861034037025,8.121920425481248
Separated,48,1.996840979230467,1.6914162256392078,2.193548387096774,2.654782917759102,6.829093997207464
Assimilated,68,1.996840979230467,1.6914162256392078,2.193548387096774,5.301179321142402,4.801846111185241
Marginalized,64,1.996840979230467,1.6914162256392078,2.193548387096774,4.768629923699924,7.85483371551637
