rhs,label,est,std_estimate,perc_of_total,p.boot,ci.lower.boot.025,ci.upper.boot.975
mios_total,a,-0.322,-0.437,0,1.948195382794893e-9,-0.42375591893426406,-0.21389629095766574
biis_harmony,b,-0.021,-0.203,0,0.005206725090540321,-0.03496447488352836,-0.005492278538995215
mios_total,c,0.037,0.486,0,3.610753918081855e-10,0.02512611033152843,0.048143204566811454
c,direct,0.037,0.486,0.8452173913043478,3.625322264610986e-10,0.02512611033152843,0.048143204566811454
a*b,indirect,0.007,0.089,0.1547826086956522,0.015259369273901369,0.001639054576267559,0.012488844276837047
c+(a*b),total,0.043,0.575,0,0,0.03288353453943606,0.05273001218018607
