Data Set,Median Survey Response Time (Minutes),Mean Survey Response Time (Minutes),Trimmed mean Survey Response Time (Minutes),Maximum Survey Response Time (Minutes),Minimum Survey Response Time (Minutes)
Original,21.083333333333332,45.11057248384119,27.488935574229693,2729.9666666666667,5.416666666666667
Simple,20.983333333333334,32.08032786885246,28.000495049504952,1023.0666666666667,7.283333333333333
Lenient,20.725,31.859625322997413,27.029036458333334,1023.0666666666667,7.283333333333333
Main,20.725,32.27682926829269,27.212090163934427,1023.0666666666667,7.283333333333333
Strict,21.483333333333334,25.142007797270956,25.142007797270956,100.55,9.95
